tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1986--mexico,Group E,1986-06-08,West Germany,Scotland,2,1,"Estadio La Corregidora, Querétaro",West Germany,1674.9,1490.67,1683.15,1482.42,184.23
1986--mexico,Group E,1986-06-08,Denmark,Uruguay,6,1,"Estadio Neza 86, Nezahualcóyotl",Denmark,1523.66,1466.58,1551.71,1438.53,57.08
1986--mexico,Group E,1986-06-13,Denmark,West Germany,2,0,"Estadio La Corregidora, Querétaro",Denmark,1551.71,1683.15,1588.62,1646.24,-131.44
1986--mexico,Group E,1986-06-13,Scotland,Uruguay,0,0,"Estadio Neza 86, Nezahualcóyotl",Draw,1482.42,1438.53,1477.14,1443.81,43.89
1986--mexico,Group F,1986-06-02,Morocco,Poland,0,0,"Estadio Universitario, Monterrey",Draw,1452.2,1614.43,1458.44,1608.19,-162.23
1986--mexico,Group F,1986-06-03,Portugal,England,1,0,"Estadio Tecnológico, Monterrey",Portugal,1620.6,1662.6,1640.14,1643.06,-42.0
1986--mexico,Group F,1986-06-06,England,Morocco,0,0,"Estadio Tecnológico, Monterrey",Draw,1643.06,1458.44,1631.29,1470.21,184.62
1986--mexico,Group F,1986-06-07,Poland,Portugal,1,0,"Estadio Universitario, Monterrey",Poland,1608.19,1640.14,1627.15,1621.18,-31.95
1986--mexico,Group F,1986-06-11,Portugal,Morocco,1,3,"Estadio Tres de Marzo, Guadalajara",Morocco,1621.18,1470.21,1575.53,1515.86,150.97
1986--mexico,Group F,1986-06-11,England,Poland,3,0,"Estadio Tecnológico, Monterrey",England,1631.29,1627.15,1660.88,1597.56,4.14
1986--mexico,Round of 16,1986-06-15,Mexico,Bulgaria,2,0,"Estadio Azteca, Mexico City",Mexico,1428.17,1398.84,1463.07,1363.94,29.33
1986--mexico,Round of 16,1986-06-15,Soviet Union,Belgium,3,4,"Estadio Nou Camp, León",Belgium,1620.55,1430.55,1572.6,1478.5,190.0
1986--mexico,Round of 16,1986-06-16,Argentina,Uruguay,1,0,"Estadio Cuauhtémoc, Puebla",Argentina,1640.24,1443.81,1651.93,1432.12,196.43
1986--mexico,Round of 16,1986-06-16,Brazil,Poland,4,0,"Estadio Jalisco, Guadalajara",Brazil,1819.69,1597.56,1839.12,1578.13,222.13
1986--mexico,Round of 16,1986-06-17,Italy,France,0,2,"Estadio Olímpico Universitario, Mexico City",France,1732.54,1603.32,1666.19,1669.67,129.22
