tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1974--west-germany,Group 4,1974-06-19,Haiti,Poland,0,7,"Olympiastadion, Munich",Poland,1484.14,1501.5,1434.92,1550.72,-17.36
1974--west-germany,Group 4,1974-06-19,Argentina,Italy,1,1,"Neckarstadion, Stuttgart",Draw,1502.17,1643.7,1507.32,1638.55,-141.53
1974--west-germany,Group 4,1974-06-23,Argentina,Haiti,4,1,"Olympiastadion, Munich",Argentina,1507.32,1434.92,1530.48,1411.76,72.4
1974--west-germany,Group 4,1974-06-23,Poland,Italy,2,1,"Neckarstadion, Stuttgart",Poland,1550.72,1638.55,1572.89,1616.38,-87.83
1974--west-germany,Group A,1974-06-26,Brazil,East Germany,1,0,"Niedersachsenstadion, Hanover",Brazil,1806.25,1555.29,1812.26,1549.28,250.96
1974--west-germany,Group A,1974-06-26,Netherlands,Argentina,4,0,"Parkstadion, Gelsenkirchen",Netherlands,1522.6,1530.48,1555.58,1497.5,-7.88
1974--west-germany,Group A,1974-06-30,East Germany,Netherlands,0,2,"Parkstadion, Gelsenkirchen",Netherlands,1549.28,1555.58,1515.53,1589.33,-6.3
1974--west-germany,Group A,1974-06-30,Argentina,Brazil,1,2,"Niedersachsenstadion, Hanover",Brazil,1497.5,1812.26,1490.35,1819.41,-314.76
1974--west-germany,Group A,1974-07-03,Argentina,East Germany,1,1,"Parkstadion, Gelsenkirchen",Draw,1490.35,1515.53,1488.92,1516.96,-25.18
1974--west-germany,Group A,1974-07-03,Netherlands,Brazil,2,0,"Westfalenstadion, Dortmund",Netherlands,1589.33,1819.41,1633.62,1775.12,-230.08
1974--west-germany,Group B,1974-06-26,Yugoslavia,West Germany,0,2,"Rheinstadion, Düsseldorf",West Germany,1552.06,1688.27,1529.35,1710.98,-136.21
1974--west-germany,Group B,1974-06-26,Sweden,Poland,0,1,"Neckarstadion, Stuttgart",Poland,1593.27,1572.89,1569.27,1596.89,20.38
1974--west-germany,Group B,1974-06-30,West Germany,Sweden,4,2,"Rheinstadion, Düsseldorf",West Germany,1710.98,1569.27,1725.92,1554.33,141.71
1974--west-germany,Group B,1974-06-30,Poland,Yugoslavia,2,1,"Waldstadion, Frankfurt",Poland,1596.89,1529.35,1610.37,1515.87,67.54
1974--west-germany,Group B,1974-07-03,Poland,West Germany,0,1,"Waldstadion, Frankfurt",West Germany,1610.37,1725.92,1594.1,1742.19,-115.55
1974--west-germany,Group B,1974-07-03,Sweden,Yugoslavia,2,1,"Rheinstadion, Düsseldorf",Sweden,1554.33,1515.87,1569.35,1500.85,38.46
1974--west-germany,Group B,1974-07-06,Brazil,Poland,0,1,"Olympiastadion, Munich",Poland,1775.12,1594.1,1743.49,1625.73,181.02
1974--west-germany,Final,1974-07-07,Netherlands,West Germany,1,2,"Olympiastadion, Munich",West Germany,1633.62,1742.19,1608.63,1767.18,-108.57
1978--argentina,Group 1,1978-06-02,Argentina,Hungary,2,1,"Estadio Monumental, Buenos Aires",Argentina,1488.92,1604.21,1512.63,1580.5,-115.29
1978--argentina,Group 1,1978-06-02,Italy,France,2,1,"Estadio José María Minella, Mar del Plata",Italy,1616.38,1518.58,1628.35,1506.61,97.8
1978--argentina,Group 1,1978-06-06,Argentina,France,2,1,"Estadio Monumental, Buenos Aires",Argentina,1512.63,1506.61,1529.43,1489.81,6.02
1978--argentina,Group 1,1978-06-06,Italy,Hungary,3,1,"Estadio José María Minella, Mar del Plata",Italy,1628.35,1580.5,1650.12,1558.73,47.85
1978--argentina,Group 1,1978-06-10,Argentina,Italy,0,1,"Estadio Monumental, Buenos Aires",Italy,1529.43,1650.12,1513.44,1666.11,-120.69
1978--argentina,Group 1,1978-06-10,France,Hungary,3,1,"Estadio José María Minella, Mar del Plata",France,1489.81,1558.73,1521.44,1527.1,-68.92
1978--argentina,Group 2,1978-06-01,West Germany,Poland,0,0,"Estadio Monumental, Buenos Aires",Draw,1767.18,1625.73,1757.15,1635.76,141.45
1978--argentina,Group 2,1978-06-02,Tunisia,Mexico,3,1,"Estadio Gigante de Arroyito, Rosario",Tunisia,1500.0,1409.14,1518.46,1390.68,90.86
1978--argentina,Group 2,1978-06-06,Poland,Tunisia,1,0,"Estadio Gigante de Arroyito, Rosario",Poland,1635.76,1518.46,1646.81,1507.41,117.3
1978--argentina,Group 2,1978-06-06,West Germany,Mexico,6,0,"Estadio Chateau Carreras, Córdoba",West Germany,1757.15,1390.68,1764.24,1383.59,366.47
1978--argentina,Group 2,1978-06-10,Poland,Mexico,3,1,"Estadio Gigante de Arroyito, Rosario",Poland,1646.81,1383.59,1655.3,1375.1,263.22
1978--argentina,Group 2,1978-06-10,West Germany,Tunisia,0,0,"Estadio Olímpico Chateau Carreras, Córdoba",Draw,1764.24,1507.41,1750.08,1521.57,256.83
1978--argentina,Group 3,1978-06-03,Austria,Spain,2,1,"Estadio José Amalfitani, Buenos Aires",Austria,1520.34,1485.57,1535.55,1470.36,34.77
1978--argentina,Group 3,1978-06-03,Brazil,Sweden,1,1,"Estadio José Maria Minella, Mar del Plata",Draw,1743.49,1569.35,1732.12,1580.72,174.14
1978--argentina,Group 3,1978-06-07,Austria,Sweden,1,0,"Estadio José Amalfitani, Buenos Aires",Austria,1535.55,1580.72,1555.27,1561.0,-45.17
1978--argentina,Group 3,1978-06-07,Brazil,Spain,0,0,"Estadio José Maria Minella, Mar del Plata",Draw,1732.12,1470.36,1717.82,1484.66,261.76
1978--argentina,Group 3,1978-06-11,Spain,Sweden,1,0,"Estadio José Amalfitani, Buenos Aires",Spain,1484.66,1561.0,1506.17,1539.49,-76.34
1978--argentina,Group 3,1978-06-11,Brazil,Austria,1,0,"Estadio José Maria Minella, Mar del Plata",Brazil,1717.82,1555.27,1726.91,1546.18,162.55
1978--argentina,Group 4,1978-06-03,Peru,Scotland,3,1,"Estadio Chateau Carreras, Córdoba",Peru,1471.22,1489.8,1498.51,1462.51,-18.58
1978--argentina,Group 4,1978-06-03,Netherlands,Iran,3,0,"Estadio Ciudad de Mendoza, Mendoza",Netherlands,1608.63,1500.0,1628.67,1479.96,108.63
1978--argentina,Group 4,1978-06-07,Scotland,Iran,1,1,"Estadio Chateau Carreras, Córdoba",Draw,1462.51,1479.96,1460.64,1481.83,-17.45
1978--argentina,Group 4,1978-06-07,Netherlands,Peru,0,0,"Estadio Ciudad de Mendoza, Mendoza",Draw,1628.67,1498.51,1619.14,1508.04,130.16
1978--argentina,Group 4,1978-06-11,Peru,Iran,4,1,"Estadio Chateau Carreras, Córdoba",Peru,1508.04,1481.83,1535.48,1454.39,26.21
1978--argentina,Group 4,1978-06-11,Scotland,Netherlands,3,2,"Estadio Ciudad de Mendoza, Mendoza",Scotland,1460.64,1619.14,1486.69,1593.09,-158.5
1978--argentina,Group A,1978-06-14,Italy,West Germany,0,0,"Estadio Monumental, Buenos Aires",Draw,1666.11,1750.08,1668.06,1748.13,-83.97
1978--argentina,Group A,1978-06-14,Austria,Netherlands,1,5,"Estadio Chateau Carreras, Córdoba",Netherlands,1546.18,1593.09,1508.35,1630.92,-46.91
1978--argentina,Group A,1978-06-18,Italy,Austria,1,0,"Estadio Monumental, Buenos Aires",Italy,1668.06,1508.35,1677.27,1499.14,159.71
1978--argentina,Group A,1978-06-18,Netherlands,West Germany,2,2,"Estadio Chateau Carreras, Córdoba",Draw,1630.92,1748.13,1634.74,1744.31,-117.21
1978--argentina,Group A,1978-06-21,Italy,Netherlands,1,2,"Estadio Monumental, Buenos Aires",Netherlands,1677.27,1634.74,1652.07,1659.94,42.53
1978--argentina,Group A,1978-06-21,Austria,West Germany,3,2,"Estadio Chateau Carreras, Córdoba",Austria,1499.14,1744.31,1529.33,1714.12,-245.17
1978--argentina,Group B,1978-06-14,Argentina,Poland,2,0,"Estadio Gigante de Arroyito, Rosario",Argentina,1513.44,1655.3,1551.19,1617.55,-141.86
1978--argentina,Group B,1978-06-14,Peru,Brazil,0,3,"Estadio Ciudad de Mendoza, Mendoza",Brazil,1535.48,1726.91,1513.99,1748.4,-191.43
1978--argentina,Group B,1978-06-18,Argentina,Brazil,0,0,"Estadio Gigante de Arroyito, Rosario",Draw,1551.19,1748.4,1559.19,1740.4,-197.21
1978--argentina,Group B,1978-06-18,Peru,Poland,0,1,"Estadio Ciudad de Mendoza, Mendoza",Poland,1513.99,1617.55,1497.05,1634.49,-103.56
1978--argentina,Group B,1978-06-21,Argentina,Peru,6,0,"Estadio Gigante de Arroyito, Rosario",Argentina,1559.19,1497.05,1588.43,1467.81,62.14
1978--argentina,Group B,1978-06-21,Poland,Brazil,1,3,"Estadio Ciudad de Mendoza, Mendoza",Brazil,1634.49,1740.4,1609.28,1765.61,-105.91
1978--argentina,Third place match,1978-06-24,Brazil,Italy,2,1,"Estadio Monumental, Buenos Aires",Brazil,1765.61,1652.07,1782.45,1635.23,113.54
1978--argentina,Final,1978-06-25,Netherlands,Argentina,1,3,"Estadio Monumental, Buenos Aires",Argentina,1659.94,1588.43,1599.81,1648.56,71.51
1982--spain,Group 1,1982-06-14,Italy,Poland,0,0,"Balaídos, Vigo",Draw,1635.23,1609.28,1630.93,1613.58,25.95
1982--spain,Group 1,1982-06-15,Peru,Cameroon,0,0,"Estadio de Riazor, A Coruña",Draw,1467.81,1500.0,1466.79,1501.02,-32.19
1982--spain,Group 1,1982-06-18,Italy,Peru,1,1,"Balaídos, Vigo",Draw,1630.93,1466.79,1619.96,1477.76,164.14
1982--spain,Group 1,1982-06-19,Poland,Cameroon,0,0,"Estadio de Riazor, A Coruña",Draw,1613.58,1501.02,1604.85,1509.75,112.56
1982--spain,Group 1,1982-06-22,Poland,Peru,5,1,"Estadio de Riazor, A Coruña",Poland,1604.85,1477.76,1624.74,1457.87,127.09
1982--spain,Group 1,1982-06-23,Italy,Cameroon,1,1,"Balaídos, Vigo",Draw,1619.96,1509.75,1611.34,1518.37,110.21
1982--spain,Group 2,1982-06-16,West Germany,Algeria,1,2,"El Molinón, Gijón",Algeria,1714.12,1500.0,1681.3,1532.82,214.12
1982--spain,Group 2,1982-06-17,Chile,Austria,0,1,"Estadio Carlos Tartiere, Oviedo",Austria,1508.9,1529.33,1487.2,1551.03,-20.43
1982--spain,Group 2,1982-06-20,West Germany,Chile,4,1,"El Molinón, Gijón",West Germany,1681.3,1487.2,1695.09,1473.41,194.1
1982--spain,Group 2,1982-06-21,Algeria,Austria,0,2,"Estadio Carlos Tartiere, Oviedo",Austria,1532.82,1551.03,1500.08,1583.77,-18.21
1982--spain,Group 2,1982-06-24,Algeria,Chile,3,2,"Estadio Carlos Tartiere, Oviedo",Algeria,1500.08,1473.41,1515.74,1457.75,26.67
1982--spain,Group 2,1982-06-25,West Germany,Austria,1,0,"El Molinón, Gijón",West Germany,1695.09,1583.77,1706.42,1572.44,111.32
1982--spain,Group 3,1982-06-13,Argentina,Belgium,0,1,"Camp Nou, Barcelona",Belgium,1648.56,1404.96,1614.79,1438.73,243.6
1982--spain,Group 3,1982-06-15,Hungary,El Salvador,10,1,"Nuevo Estadio, Elche",Hungary,1527.1,1404.52,1554.12,1377.5,122.58
1982--spain,Group 3,1982-06-18,Argentina,Hungary,4,1,"Estadio José Rico Pérez, Alicante",Argentina,1614.79,1554.12,1639.0,1529.91,60.67
1982--spain,Group 3,1982-06-19,Belgium,El Salvador,1,0,"Nuevo Estadio, Elche",Belgium,1438.73,1377.5,1452.54,1363.69,61.23
1982--spain,Group 3,1982-06-22,Belgium,Hungary,1,1,"Nuevo Estadio, Elche",Draw,1452.54,1529.91,1454.11,1528.34,-77.37
1982--spain,Group 3,1982-06-23,Argentina,El Salvador,2,0,"Estadio José Rico Pérez, Alicante",Argentina,1639.0,1363.69,1646.99,1355.7,275.31
1982--spain,Group 4,1982-06-16,England,France,3,1,"Estadio San Mamés, Bilbao",England,1623.55,1521.44,1641.2,1503.79,102.11
1982--spain,Group 4,1982-06-17,Czechoslovakia,Kuwait,1,1,"Estadio José Zorrilla, Valladolid",Draw,1507.18,1500.0,1503.92,1503.26,7.18
1982--spain,Group 4,1982-06-20,England,Czechoslovakia,2,0,"Estadio San Mamés, Bilbao",England,1641.2,1503.92,1656.43,1488.69,137.28
1982--spain,Group 4,1982-06-21,France,Kuwait,4,1,"Estadio José Zorrilla, Valladolid",France,1503.79,1503.26,1533.74,1473.31,0.53
1982--spain,Group 4,1982-06-24,France,Czechoslovakia,1,1,"Estadio José Zorrilla, Valladolid",Draw,1533.74,1488.69,1528.4,1494.03,45.05
1982--spain,Group 4,1982-06-25,England,Kuwait,1,0,"Estadio San Mamés, Bilbao",England,1656.43,1473.31,1664.72,1465.02,183.12
1982--spain,Group 5,1982-06-16,Spain,Honduras,1,1,"Estadio Luis Casanova, Valencia",Draw,1506.17,1500.0,1502.96,1503.21,6.17
1982--spain,Group 5,1982-06-17,Yugoslavia,Northern Ireland,0,0,"La Romareda, Zaragoza",Draw,1500.85,1471.26,1496.35,1475.76,29.59
1982--spain,Group 5,1982-06-20,Spain,Yugoslavia,2,1,"Estadio Luis Casanova, Valencia",Spain,1502.96,1496.35,1519.73,1479.58,6.61
1982--spain,Group 5,1982-06-21,Honduras,Northern Ireland,1,1,"La Romareda, Zaragoza",Draw,1503.21,1475.76,1498.82,1480.15,27.45
1982--spain,Group 5,1982-06-24,Honduras,Yugoslavia,0,1,"La Romareda, Zaragoza",Yugoslavia,1498.82,1479.58,1474.89,1503.51,19.24
1982--spain,Group 5,1982-06-25,Spain,Northern Ireland,0,1,"Estadio Luis Casanova, Valencia",Northern Ireland,1519.73,1480.15,1494.68,1505.2,39.58
1982--spain,Group 6,1982-06-14,Brazil,Soviet Union,2,1,"Estadio Ramón Sánchez Pizjuán, Seville",Brazil,1782.45,1546.35,1788.91,1539.89,236.1
1982--spain,Group 6,1982-06-15,Scotland,New Zealand,5,2,"Estadio La Rosaleda, Málaga",Scotland,1486.69,1500.0,1518.01,1468.68,-13.31
1982--spain,Group 6,1982-06-18,Brazil,Scotland,4,1,"Estadio Benito Villamarín, Seville",Brazil,1788.91,1518.01,1798.44,1508.48,270.9
1982--spain,Group 6,1982-06-19,Soviet Union,New Zealand,3,0,"Estadio La Rosaleda, Málaga",Soviet Union,1539.89,1468.68,1563.15,1445.42,71.21
1982--spain,Group 6,1982-06-22,Soviet Union,Scotland,2,2,"Estadio La Rosaleda, Málaga",Draw,1563.15,1508.48,1557.3,1514.33,54.67
1982--spain,Group 6,1982-06-23,Brazil,New Zealand,4,0,"Estadio Benito Villamarín, Seville",Brazil,1798.44,1445.42,1805.15,1438.71,353.02
1982--spain,Group A,1982-06-28,Poland,Belgium,3,0,"Camp Nou, Barcelona",Poland,1624.74,1454.11,1640.09,1438.76,170.63
1982--spain,Group A,1982-07-01,Belgium,Soviet Union,0,1,"Camp Nou, Barcelona",Soviet Union,1438.76,1557.3,1422.66,1573.4,-118.54
1982--spain,Group A,1982-07-04,Soviet Union,Poland,0,0,"Camp Nou, Barcelona",Draw,1573.4,1640.09,1574.36,1639.13,-66.69
1982--spain,Group B,1982-06-29,West Germany,England,0,0,"Estadio Santiago Bernabéu, Madrid",Draw,1706.42,1664.72,1701.26,1669.88,41.7
1982--spain,Group B,1982-07-02,West Germany,Spain,2,1,"Estadio Santiago Bernabéu, Madrid",West Germany,1701.26,1494.68,1708.7,1487.24,206.58
1982--spain,Group B,1982-07-05,Spain,England,0,0,"Estadio Santiago Bernabéu, Madrid",Draw,1487.24,1669.88,1494.52,1662.6,-182.64
1982--spain,Group C,1982-06-29,Italy,Argentina,2,1,"Estadio Sarriá, Barcelona",Italy,1611.34,1646.99,1630.51,1627.82,-35.65
1982--spain,Group C,1982-07-02,Argentina,Brazil,1,3,"Estadio Sarriá, Barcelona",Brazil,1627.82,1805.15,1608.35,1824.62,-177.33
1982--spain,Group C,1982-07-05,Italy,Brazil,3,2,"Estadio Sarriá, Barcelona",Italy,1630.51,1824.62,1658.36,1796.77,-194.11
1982--spain,Group D,1982-06-28,Austria,France,0,1,"Estadio Vicente Calderón, Madrid",France,1572.44,1528.4,1547.16,1553.68,44.04
1982--spain,Group D,1982-07-01,Austria,Northern Ireland,2,2,"Estadio Vicente Calderón, Madrid",Draw,1547.16,1505.2,1541.99,1510.37,41.96
1982--spain,Group D,1982-07-04,Northern Ireland,France,1,4,"Estadio Vicente Calderón, Madrid",France,1510.37,1553.68,1474.7,1589.35,-43.31
1982--spain,Semi-finals,1982-07-08,Poland,Italy,0,2,"Camp Nou, Barcelona",Italy,1639.13,1658.36,1590.16,1707.33,-19.23
1982--spain,Semi-finals,1982-07-08,West Germany,France,5,4,"Estadio Ramón Sánchez Pizjuán, Seville",West Germany,1708.7,1589.35,1725.13,1572.92,119.35
1982--spain,Third place match,1982-07-10,Poland,France,3,2,"Estadio José Rico Pérez, Alicante",Poland,1590.16,1572.92,1614.43,1548.65,17.24
1982--spain,Final,1982-07-11,Italy,West Germany,3,1,Estadio Santiago Bernabéu,Italy,1707.33,1725.13,1748.17,1684.29,-17.8
1986--mexico,Group A,1986-05-31,Bulgaria,Italy,1,1,"Estadio Azteca, Mexico City",Draw,1391.63,1748.17,1405.78,1734.02,-356.54
1986--mexico,Group A,1986-06-02,Argentina,South Korea,3,1,"Estadio Olímpico Universitario, Mexico City",Argentina,1608.35,1429.97,1621.05,1417.27,178.38
1986--mexico,Group A,1986-06-05,Italy,Argentina,1,1,"Estadio Cuauhtémoc, Puebla",Draw,1734.02,1621.05,1725.27,1629.8,112.97
1986--mexico,Group A,1986-06-05,South Korea,Bulgaria,1,1,"Estadio Olímpico Universitario, Mexico City",Draw,1417.27,1405.78,1413.77,1409.28,11.49
1986--mexico,Group A,1986-06-10,South Korea,Italy,2,3,"Estadio Cuauhtémoc, Puebla",Italy,1413.77,1725.27,1406.5,1732.54,-311.5
1986--mexico,Group A,1986-06-10,Argentina,Bulgaria,2,0,"Estadio Olímpico Universitario, Mexico City",Argentina,1629.8,1409.28,1640.24,1398.84,220.52
1986--mexico,Group B,1986-06-03,Belgium,Mexico,1,2,"Estadio Azteca, Mexico City",Mexico,1422.66,1375.1,1397.19,1400.57,47.56
1986--mexico,Group B,1986-06-04,Paraguay,Iraq,1,0,"Estadio Nemesio Díez, Toluca",Paraguay,1465.17,1500.0,1484.3,1480.87,-34.83
1986--mexico,Group B,1986-06-07,Mexico,Paraguay,1,1,"Estadio Azteca, Mexico City",Draw,1400.57,1484.3,1402.51,1482.36,-83.73
1986--mexico,Group B,1986-06-08,Iraq,Belgium,1,2,"Estadio Nemesio Díez, Toluca",Belgium,1480.87,1397.19,1453.53,1424.53,83.68
1986--mexico,Group B,1986-06-11,Iraq,Mexico,0,1,"Estadio Azteca, Mexico City",Mexico,1453.53,1402.51,1427.87,1428.17,51.02
1986--mexico,Group B,1986-06-11,Paraguay,Belgium,2,2,"Estadio Nemesio Díez, Toluca",Draw,1482.36,1424.53,1476.34,1430.55,57.83
1986--mexico,Group C,1986-06-01,Canada,France,0,1,"Estadio Nou Camp, León",France,1500.0,1548.65,1479.92,1568.73,-48.65
1986--mexico,Group C,1986-06-02,Soviet Union,Hungary,6,0,"Estadio Sergio León Chavez, Irapuato",Soviet Union,1574.36,1528.34,1605.4,1497.3,46.02
1986--mexico,Group C,1986-06-05,France,Soviet Union,1,1,"Estadio Nou Camp, León",Draw,1568.73,1605.4,1567.96,1606.17,-36.67
1986--mexico,Group C,1986-06-06,Hungary,Canada,2,0,"Estadio Sergio León Chavez, Irapuato",Hungary,1497.3,1479.92,1521.55,1455.67,17.38
1986--mexico,Group C,1986-06-09,Hungary,France,0,3,"Estadio Nou Camp, León",France,1521.55,1567.96,1486.19,1603.32,-46.41
1986--mexico,Group C,1986-06-09,Soviet Union,Canada,2,0,"Estadio Sergio León Chavez, Irapuato",Soviet Union,1606.17,1455.67,1620.55,1441.29,150.5
1986--mexico,Group D,1986-06-01,Spain,Brazil,0,1,"Estadio Jalisco, Guadalajara",Brazil,1494.52,1796.77,1486.93,1804.36,-302.25
1986--mexico,Group D,1986-06-03,Algeria,Northern Ireland,1,1,"Estadio Tres de Marzo, Guadalajara",Draw,1515.74,1474.7,1510.62,1479.82,41.04
1986--mexico,Group D,1986-06-06,Brazil,Algeria,1,0,"Estadio Jalisco, Guadalajara",Brazil,1804.36,1510.62,1809.22,1505.76,293.74
1986--mexico,Group D,1986-06-07,Northern Ireland,Spain,1,2,"Estadio Tres de Marzo, Guadalajara",Spain,1479.82,1486.93,1457.36,1509.39,-7.11
1986--mexico,Group D,1986-06-12,Northern Ireland,Brazil,0,3,"Estadio Jalisco, Guadalajara",Brazil,1457.36,1809.22,1446.89,1819.69,-351.86
1986--mexico,Group D,1986-06-12,Algeria,Spain,0,3,"Estadio Tecnológico, Monterrey",Spain,1505.76,1509.39,1466.12,1549.03,-3.63
1986--mexico,Group E,1986-06-04,Uruguay,West Germany,1,1,"Estadio La Corregidora, Querétaro",Draw,1457.19,1684.29,1466.58,1674.9,-227.1
1986--mexico,Group E,1986-06-04,Scotland,Denmark,0,1,"Estadio Neza 86, Nezahualcóyotl",Denmark,1514.33,1500.0,1490.67,1523.66,14.33
