tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_rank,away_rank,home_rank_obj,away_rank_obj,rank_source,home_days_since_last_match,away_days_since_last_match,rank_diff,is_home_favourite,ingested_at,match_temp,match_hum,match_wind,shock_home,shock_away
1958--sweden,Group 1,1958-06-15,Czechoslovakia,Argentina,6,1,"Olympiastadion, Helsingborg",Czechoslovakia,,,,,,,,,,,,,,,,17.549579620361328,94.6067886352539,8.55710220336914,-8.854965,5.3047085
1958--sweden,Group 1 Play-off,1958-06-17,Northern Ireland,Czechoslovakia,2,1,"Malmö Stadion, Malmö",Northern Ireland,,,,,,,,,,,,,,,,16.900419235229492,81.1113052368164,25.02971076965332,-1.6139545,-9.504126
1958--sweden,Group 2,1958-06-08,France,Paraguay,7,3,"Idrottsparken, Norrköping",France,,,,,,,,,,,,,,,,18.16316795349121,90.05968475341797,12.682018280029297,-15.0425205,-7.622179
1958--sweden,Group 2,1958-06-08,Yugoslavia,Scotland,1,1,"Arosvallen, Västerås",Draw,,,,,,,,,,,,,,,,17.792705535888672,81.11656188964844,14.40899658203125,19.999245,6.6762753
1958--sweden,Group 2,1958-06-11,Yugoslavia,France,3,2,"Arosvallen, Västerås",Yugoslavia,,,,,,,,,,,,,,,,12.44969367980957,94.92344665527344,8.66994857788086,14.656233,-20.755995
1958--sweden,Group 2,1958-06-11,Paraguay,Scotland,3,2,"Idrottsparken, Norrköping",Paraguay,,,,,,,,,,,,,,,,11.709005355834961,93.26213073730469,9.885261535644531,-14.076342,0.5925751
1958--sweden,Group 2,1958-06-15,France,Scotland,2,1,"Eyravallen, Örebro",France,,,,,,,,,,,,,,,,17.678674697875977,88.75209045410156,9.346142768859863,-15.527014,6.5622444
1958--sweden,Group 2,1958-06-15,Paraguay,Yugoslavia,3,3,"Tunavallen, Eskilstuna",Draw,,,,,,,,,,,,,,,,17.12109375,87.11489868164062,13.281023025512695,-8.664253,19.327633
1958--sweden,Group 3,1958-06-08,Sweden,Mexico,3,0,"Råsunda Stadium, Solna",Sweden,,,,,,,,,,,,,,,,21.086483001708984,82.06111907958984,9.65981388092041,1.1096687,-2.2298527
1958--sweden,Group 3,1958-06-08,Hungary,Wales,1,1,"Jernvallen, Sandviken",Draw,,,,,,,,,,,,,,,,14.669225692749023,84.82352447509766,13.905508995056152,-11.438234,-3.8306885
1958--sweden,Group 3,1958-06-11,Mexico,Wales,1,1,"Råsunda Stadium, Solna",Draw,,,,,,,,,,,,,,,,14.60482406616211,94.17473602294922,19.559633255004883,-8.711512,-3.89509
1958--sweden,Group 3,1958-06-12,Sweden,Hungary,2,1,"Råsunda Stadium, Solna",Sweden,,,,,,,,,,,,,,,,8.766070365905762,95.7291488647461,22.06597328186035,-11.210744,-17.341389
1958--sweden,Group 3,1958-06-15,Sweden,Wales,0,0,"Råsunda Stadium, Solna",Draw,,,,,,,,,,,,,,,,16.085674285888672,89.861572265625,14.5610990524292,-3.89114,-2.41424
1958--sweden,Group 3,1958-06-15,Hungary,Mexico,4,0,"Jernvallen, Sandviken",Hungary,,,,,,,,,,,,,,,,11.373004913330078,89.03778076171875,13.493998527526855,-14.734455,-11.943331
1958--sweden,Group 3 Play-off,1958-06-17,Wales,Hungary,2,1,"Råsunda Stadium, Solna",Wales,,,,,,,,,,,,,,,,20.093814849853516,88.90874481201172,8.31124496459961,1.5939007,-6.013645
1958--sweden,Group 4,1958-06-08,Brazil,Austria,3,0,"Rimnersvallen, Uddevalla",Brazil,,,,,,,,,,,,,,,,18.713090896606445,99.01547241210938,13.004921913146973,-15.956285,-2.8642101
1958--sweden,Group 4,1958-06-08,Soviet Union,England,2,2,"Ullevi, Gothenburg",Draw,,,,,,,,,,,,,,,,16.702239990234375,97.72162628173828,12.074766159057617,-16.845581,-6.649193
1958--sweden,Group 4,1958-06-11,Brazil,England,0,0,"Ullevi, Gothenburg",Draw,,,,,,,,,,,,,,,,12.297513961791992,92.9508056640625,11.808877944946289,-22.371862,-11.053919
1958--sweden,Group 4,1958-06-11,Soviet Union,Austria,2,0,"Ryavallen, Borås",Soviet Union,,,,,,,,,,,,,,,,12.092729568481445,95.26554107666016,9.290511131286621,-21.455091,-9.484571
1958--sweden,Group 4,1958-06-15,England,Austria,2,2,"Ryavallen, Borås",Draw,,,,,,,,,,,,,,,,16.820335388183594,96.9906005859375,13.049689292907715,-6.5310974,-4.7569656
1958--sweden,Group 4,1958-06-15,Brazil,Soviet Union,2,0,"Ullevi, Gothenburg",Brazil,,,,,,,,,,,,,,,,15.778362274169922,94.76395416259766,14.399999618530273,-18.891014,-17.769459
1958--sweden,Group 4 Play-off,1958-06-17,Soviet Union,England,1,0,"Ullevi, Gothenburg",Soviet Union,,,,,,,,,,,,,,,,20.751953125,88.42833709716797,17.771753311157227,-12.795868,-2.5994797
1958--sweden,Quarter-finals,1958-06-19,France,Northern Ireland,4,0,"Idrottsparken, Norrköping",France,,,,,,,,,,,,,,,,14.76595687866211,94.43120574951172,16.454008102416992,-18.439732,-3.748417
1958--sweden,Quarter-finals,1958-06-19,Sweden,Soviet Union,2,0,"Råsunda Stadium, Solna",Sweden,,,,,,,,,,,,,,,,17.46737289428711,92.82754516601562,10.895576477050781,-2.5094414,-16.080448
1958--sweden,Quarter-finals,1958-06-19,Brazil,Wales,1,0,"Ullevi, Gothenburg",Brazil,,,,,,,,,,,,,,,,11.104938507080078,89.22850036621094,20.393293380737305,-23.564438,-7.3949757
1958--sweden,Quarter-finals,1958-06-19,West Germany,Yugoslavia,1,0,"Malmö Stadion, Malmö",West Germany,,,,,,,,,,,,,,,,11.402237892150879,82.36861419677734,30.147716522216797,-16.740978,13.608777
